epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,590.959,1.36874,1.44555,1.25284,0.47396,0.9272,0.59757,0.37788,1.21359,1.14365,1.15084,0.00016516,0.00016516,0.00016516
43,604.275,1.34952,1.40469,1.23723,0.46444,0.92903,0.52849,0.29826,1.44183,1.21547,1.21187,0.000162408,0.000162408,0.000162408
44,617.705,1.37156,1.42102,1.25919,0.46953,0.9306,0.54049,0.31641,1.36863,1.1785,1.18706,0.000159655,0.000159655,0.000159655
45,631.246,1.37766,1.40346,1.2501,0.47175,0.9175,0.55211,0.3527,1.22469,1.17451,1.16261,0.000156903,0.000156903,0.000156903
46,644.442,1.34055,1.39882,1.2364,0.47909,0.92226,0.57036,0.36065,1.21175,1.14932,1.15176,0.000154151,0.000154151,0.000154151
47,657.96,1.3679,1.41497,1.24904,0.47804,0.92171,0.59162,0.37318,1.25771,1.13909,1.16491,0.000151399,0.000151399,0.000151399
48,671.843,1.36682,1.41012,1.25317,0.48348,0.92288,0.58947,0.36198,1.31206,1.13463,1.17399,0.000148647,0.000148647,0.000148647
49,685.243,1.3513,1.40625,1.24072,0.46856,0.9321,0.53289,0.31682,1.41039,1.17581,1.19556,0.000145894,0.000145894,0.000145894
50,697.848,1.3437,1.41588,1.23619,0.48132,0.92296,0.60418,0.37218,1.31168,1.12952,1.16225,0.000143142,0.000143142,0.000143142
51,711.412,1.33974,1.38426,1.22923,0.50188,0.88793,0.64283,0.38554,1.34888,1.10392,1.16426,0.00014039,0.00014039,0.00014039
52,723.193,1.30181,1.35814,1.21263,0.46765,0.94512,0.54445,0.34537,1.21425,1.14864,1.14386,0.000137638,0.000137638,0.000137638
53,738.803,1.32617,1.34103,1.21654,0.4947,0.91679,0.6255,0.39438,1.27543,1.09659,1.15786,0.000134886,0.000134886,0.000134886
54,752.255,1.32277,1.35213,1.22251,0.50701,0.88072,0.67315,0.40964,1.33681,1.0902,1.16771,0.000132133,0.000132133,0.000132133
55,765.42,1.30332,1.34468,1.21902,0.53184,0.86283,0.70841,0.45358,1.24152,1.05684,1.14993,0.000129381,0.000129381,0.000129381
56,780.784,1.33045,1.36358,1.23382,0.47811,0.9144,0.60207,0.38753,1.21913,1.11409,1.14486,0.000126629,0.000126629,0.000126629
57,794.221,1.30505,1.32527,1.21531,0.4649,0.94019,0.52762,0.32908,1.26955,1.15777,1.15445,0.000123877,0.000123877,0.000123877
58,807.803,1.3306,1.35949,1.22222,0.46228,0.9304,0.51142,0.32159,1.25558,1.1921,1.15197,0.000121125,0.000121125,0.000121125
59,821.482,1.34198,1.35826,1.23196,0.47168,0.93863,0.54852,0.33207,1.33417,1.14762,1.16574,0.000118372,0.000118372,0.000118372
60,835.144,1.31574,1.34272,1.22826,0.48132,0.91624,0.58528,0.36315,1.29018,1.11343,1.15427,0.00011562,0.00011562,0.00011562
61,848.497,1.32393,1.35907,1.22008,0.48355,0.92317,0.59786,0.36914,1.31447,1.11713,1.15808,0.000112868,0.000112868,0.000112868
62,862.454,1.32044,1.33197,1.22359,0.49766,0.91046,0.60874,0.3751,1.29549,1.09984,1.15413,0.000110116,0.000110116,0.000110116
63,876.34,1.32031,1.3479,1.2345,0.48227,0.92574,0.56722,0.3602,1.21598,1.11316,1.14102,0.000107364,0.000107364,0.000107364
64,889.934,1.30902,1.33117,1.21606,0.48573,0.93924,0.59009,0.36116,1.30273,1.10713,1.15311,0.000104611,0.000104611,0.000104611
65,903.53,1.30968,1.33288,1.22054,0.5013,0.91399,0.61785,0.38339,1.27464,1.09534,1.15451,0.000101859,0.000101859,0.000101859
66,916.928,1.29914,1.30907,1.21841,0.48875,0.92635,0.5775,0.35093,1.32509,1.10749,1.16713,9.9107e-05,9.9107e-05,9.9107e-05
67,930.493,1.311,1.31912,1.20947,0.47048,0.94262,0.52168,0.31948,1.30912,1.15365,1.16112,9.63548e-05,9.63548e-05,9.63548e-05
68,944.457,1.31046,1.31814,1.21901,0.47409,0.92909,0.53513,0.33938,1.24589,1.14019,1.14663,9.36026e-05,9.36026e-05,9.36026e-05
69,957.924,1.3206,1.32961,1.2146,0.47806,0.9408,0.55855,0.35769,1.22649,1.11439,1.13171,9.08504e-05,9.08504e-05,9.08504e-05
70,972.16,1.29332,1.31477,1.20842,0.47562,0.93773,0.56139,0.3589,1.22638,1.12221,1.13245,8.80982e-05,8.80982e-05,8.80982e-05
71,986.007,1.29647,1.31266,1.20414,0.48464,0.92018,0.59534,0.36719,1.29845,1.10314,1.15663,8.5346e-05,8.5346e-05,8.5346e-05
72,999.819,1.27521,1.29646,1.20696,0.47833,0.93043,0.57118,0.34443,1.34256,1.11158,1.16429,8.25938e-05,8.25938e-05,8.25938e-05
73,1014.1,1.31208,1.31599,1.21512,0.47588,0.93127,0.56603,0.34716,1.31209,1.12199,1.15848,7.98416e-05,7.98416e-05,7.98416e-05
74,1028.23,1.29057,1.32161,1.20775,0.4842,0.92704,0.5701,0.34014,1.35778,1.12035,1.16736,7.70894e-05,7.70894e-05,7.70894e-05
75,1041.36,1.28807,1.29361,1.21156,0.49511,0.91772,0.60082,0.37195,1.27926,1.09784,1.15155,7.43372e-05,7.43372e-05,7.43372e-05
76,1054.91,1.27411,1.2847,1.20105,0.52457,0.88618,0.63697,0.40075,1.24497,1.06204,1.13269,7.1585e-05,7.1585e-05,7.1585e-05
77,1068.52,1.28257,1.29274,1.19811,0.49994,0.90964,0.63357,0.39817,1.2624,1.07511,1.14181,6.88328e-05,6.88328e-05,6.88328e-05
78,1081.93,1.30038,1.29249,1.2048,0.5116,0.88771,0.64813,0.41033,1.24809,1.06885,1.14239,6.60806e-05,6.60806e-05,6.60806e-05
79,1095.64,1.29511,1.2896,1.20258,0.52017,0.88386,0.6552,0.41782,1.23106,1.05797,1.13231,6.33284e-05,6.33284e-05,6.33284e-05
80,1109.13,1.24998,1.25994,1.1854,0.51895,0.89378,0.65202,0.40391,1.2891,1.04781,1.1452,6.05762e-05,6.05762e-05,6.05762e-05
81,1122.29,1.2833,1.27332,1.19401,0.51745,0.90091,0.63194,0.39817,1.25112,1.04924,1.14201,5.7824e-05,5.7824e-05,5.7824e-05
82,1136.02,1.25665,1.27179,1.19731,0.53291,0.88314,0.65057,0.40646,1.2737,1.04337,1.14224,5.50718e-05,5.50718e-05,5.50718e-05
83,1149.59,1.26718,1.27191,1.19637,0.55064,0.87121,0.70329,0.45535,1.19649,1.00743,1.1247,5.23196e-05,5.23196e-05,5.23196e-05
84,1165,1.26438,1.28404,1.1937,0.54905,0.86544,0.7069,0.45973,1.1958,1.01307,1.12939,4.95674e-05,4.95674e-05,4.95674e-05
85,1180.2,1.27995,1.25821,1.19941,0.49874,0.92283,0.65183,0.40822,1.29068,1.05137,1.14611,4.68152e-05,4.68152e-05,4.68152e-05
86,1193.98,1.25469,1.26781,1.19351,0.50069,0.92257,0.63691,0.39489,1.29494,1.06223,1.14787,4.4063e-05,4.4063e-05,4.4063e-05
87,1207.42,1.2714,1.28138,1.19977,0.53503,0.87569,0.67567,0.43463,1.22769,1.03343,1.13439,4.13108e-05,4.13108e-05,4.13108e-05
88,1221.19,1.28271,1.29968,1.20983,0.54251,0.87816,0.69202,0.42565,1.31039,1.0342,1.14933,3.85586e-05,3.85586e-05,3.85586e-05
89,1234.07,1.23917,1.23228,1.1784,0.54093,0.86475,0.67573,0.42245,1.2699,1.037,1.13824,3.58064e-05,3.58064e-05,3.58064e-05
90,1247.75,1.27007,1.2604,1.19505,0.54228,0.88372,0.70143,0.45553,1.20157,1.00995,1.12491,3.30542e-05,3.30542e-05,3.30542e-05
91,1261.92,1.15587,1.10209,1.15834,0.54759,0.87345,0.70644,0.45661,1.20913,1.01453,1.13165,3.0302e-05,3.0302e-05,3.0302e-05
92,1274.08,1.13629,1.06815,1.15183,0.55562,0.84943,0.72495,0.46657,1.22986,1.00922,1.1298,2.75498e-05,2.75498e-05,2.75498e-05
93,1287.67,1.13682,1.06656,1.15159,0.51993,0.89864,0.68676,0.44092,1.22418,1.0308,1.13157,2.47976e-05,2.47976e-05,2.47976e-05
94,1299.38,1.13595,1.06068,1.14688,0.50402,0.91705,0.64543,0.41669,1.22337,1.05291,1.1304,2.20454e-05,2.20454e-05,2.20454e-05
95,1311.03,1.11135,1.04409,1.14129,0.49689,0.91651,0.60563,0.37685,1.29372,1.08261,1.14363,1.92932e-05,1.92932e-05,1.92932e-05
96,1321.99,1.1231,1.0476,1.13808,0.50188,0.9155,0.61159,0.39225,1.21876,1.06645,1.12968,1.6541e-05,1.6541e-05,1.6541e-05
97,1333.66,1.11381,1.04952,1.13683,0.52013,0.90335,0.65306,0.41591,1.23339,1.03929,1.13046,1.37888e-05,1.37888e-05,1.37888e-05
98,1345.44,1.10949,1.04263,1.14363,0.53464,0.90304,0.67197,0.43018,1.2277,1.02678,1.12916,1.10366e-05,1.10366e-05,1.10366e-05
99,1357.31,1.10937,1.03799,1.13512,0.5323,0.90627,0.67141,0.43199,1.21172,1.02503,1.12586,8.2844e-06,8.2844e-06,8.2844e-06
100,1369.35,1.10581,1.04173,1.14381,0.52786,0.90319,0.66381,0.42247,1.22795,1.03192,1.12879,5.5322e-06,5.5322e-06,5.5322e-06
